Arrive		Arrive 2			
12:12:04		12:29:08		2/28/2020	
12:12:08		12:29:46		Data Set 1: Cars arriving between 12:12 and 12:25	
12:13:15		12:30:17		Data Set 2: Cars arriving between 12:29 and 12:41	
12:14:17		12:30:49		Arrival	
12:14:52		12:31:31			
12:15:19		12:32:15		1.38	1.26
12:16:54		12:32:51			
12:16:59		12:34:29			
12:17:00		12:38:26			
12:18:02		12:39:20			
12:18:27		12:39:48			
12:18:29		12:39:49			
12:19:20		12:40:39			
12:19:27		12:40:48			
12:19:46		12:41:26			
12:21:47					
12:22:57					
12:25:02					
