Arrival,Depart,,,,,Notes
5:46:29,5:48:33,,Date Collected,2/28,,Arrival times were recorded when a car pulled up to and stopped at the payment window
5:48:40,5:49:04,,Start Time,5:45:00,,Depart times were recorded when a car began to pull away from the payment window
5:49:11,5:49:26,,End Time,6:05:00,,All times recorded were taken in the evening (ex: a reported time of 6:10:00am was actually collected at 6:10:00pm)
5:50:40,5:51:45,,,,,
5:52:40,5:53:00,,,,,
5:53:22,5:54:03,,,,,
6:00:03,6:01:32,,,,,
6:01:40,6:02:20,,,,,
6:02:28,6:03:44,,,,,
6:03:52,6:04:15,,,,,
