Arrival	Depart		Arrival2	Depart2		
12:12:48	12:13:44		12:34:58	12:35:24		2/28/2020
12:13:51	12:14:28		12:35:27	12:36:04		Data Set 1: Cars arriving between 12:12 and 12:25
12:14:35	12:15:10		12:36:14	12:36:29		Data Set 2: Cars arriving between 12:29 and 12:41
12:16:37	12:17:08		12:36:36	12:37:05		Payment Station
12:17:11	12:17:44		12:37:47	12:38:29		
12:17:50	12:19:06		12:38:45	12:38:56		
12:19:11	12:19:51		12:39:41	12:40:52		
12:19:59	12:20:15		12:40:57	12:41:48		
12:21:07	12:21:29		12:41:53	12:42:24		
12:22:35	12:23:14		12:42:32	12:42:57		
12:23:30	12:24:11		12:43:21	12:43:53		
12:24:24	12:24:41		12:44:05	12:44:42		
12:24:52	12:25:22		12:44:46	12:45:39		
12:25:30	12:25:56		12:45:41	12:46:06		
12:26:04	12:26:20		12:46:11	12:46:43		
12:27:21	12:27:32					
12:27:42	12:28:00					
12:28:04	12:28:49					
