Arrival,Depart,,,,,Notes
6:10:48,6:12:12,,Date Collected,2/28,,Arrival times were recorded when a car pulled up to and stopped at the pickup window
6:12:20,6:12:35,,Start Time,6:08:00,,Depart times were recorded when a car began to pull away from the pickup window
6:12:49,6:14:32,,End Time,6:29:42,,All times recorded were taken in the evening (ex: a reported time of 6:10:00am was actually collected at 6:10:00pm)
6:14:40,6:14:45,,,,,
6:15:18,6:15:23,,,,,
6:15:51,6:16:45,,,,,
6:16:53,6:17:20,,,,,
6:17:30,6:17:31,,,,,
6:17:38,6:19:51,,,,,
6:19:59,6:21:33,,,,,
6:21:42,6:22:06,,,,,
6:22:23,6:22:39,,,,,
6:23:21,6:23:28,,,,,
6:23:55,6:24:33,,,,,
6:24:44,6:25:37,,,,,
6:26:09,6:29:07,,,,,
6:29:16,6:29:42,,,,,
